github.com/AlDanial/cloc v 2.08  T=13.35 s (354.8 files/s, 95394.0 lines/s)
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                  blank        comment           code
./backend/.venv/lib/python3.11/site-packages/setuptools/_distutils/dist.py                                                                              207            353            824
./backend/.venv/lib/python3.11/site-packages/_pytest/assertion/rewrite.py                                                                               159            220            823
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/sql/type_api.py                                                                                 581            965            822
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/dialects/postgresql/asyncpg.py                                                                  285            178            821
./backend/.venv/lib/python3.11/site-packages/pygments/lexers/webmisc.py                                                                                 112             80            814
./backend/.venv/lib/python3.11/site-packages/pygments/lexers/asm.py                                                                                      94            153            811
./backend/.venv/lib/python3.11/site-packages/setuptools/tests/test_editable_install.py                                                                  200            254            807
./backend/.venv/lib/python3.11/site-packages/cffi/cparser.py                                                                                             45            164            806
./backend/.venv/lib/python3.11/site-packages/setuptools/_vendor/packaging/licenses/_spdx.py                                                               8              0            791
./backend/.venv/lib/python3.11/site-packages/setuptools/tests/config/test_setupcfg.py                                                                   133             65            789
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/sql/traversals.py                                                                               185             51            788
./backend/.venv/lib/python3.11/site-packages/asyncpg/protocol/protocol.pyx                                                                              197             70            784
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/sql/cache_key.py                                                                                149            126            782
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/orm/descriptor_props.py                                                                         195            121            776
./backend/.venv/lib/python3.11/site-packages/alembic/script/base.py                                                                                     146            132            774
./backend/.venv/lib/python3.11/site-packages/pygments/lexers/shell.py                                                                                    73             58            771
./backend/.venv/lib/python3.11/site-packages/pip/_vendor/distlib/compat.py                                                                              176            192            769
./backend/.venv/lib/python3.11/site-packages/passlib/tests/test_totp.py                                                                                 325            511            768
./backend/.venv/lib/python3.11/site-packages/pygments/lexers/dsls.py                                                                                    104             98            768
./backend/.venv/lib/python3.11/site-packages/sqlalchemy/orm/decl_api.py                                                                                 490            746            768
./backend/.venv/lib/python3.11/site-packages/pip/_vendor/rich/pretty.py                                                                                 119            131            766
./backend/.venv/lib/python3.11/site-packages/pip/_vendor/pygments/filters/__init__.py                                                                    79            105            756
./backend/.venv/lib/python3.11/site-packages/pygments/filters/__init__.py                                                                                81            105            756
./backend/.venv/lib/python3.11/site-packages/jwt/algorithms.py                                                                                          150             93            755
